"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1476","chromeBrowserCommands","Suite","2026-07-20","broken","2026-07-20","com.WebDriverCommands.CaseStudy6","Test","com.WebDriverCommands.CaseStudy6","chromeBrowserCommands"
"","5895","chromeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy5","Test","com.WebDriverCommands.CaseStudy5","chromeBrowserCommands"
"","2553","ChromeBrowserTest","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.BrowserCommands","Test","com.WebDriverCommands.BrowserCommands","ChromeBrowserTest"
"","15445","chromeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy3","Test","com.WebDriverCommands.CaseStudy3","chromeBrowserCommands"
"","2874","edgeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy4","Test","com.WebDriverCommands.CaseStudy4","edgeBrowserCommands"
"","1798","headlessBrowserCommands","Suite","2026-07-20","broken","2026-07-20","com.WebDriverCommands.CaseStudy7","Test","com.WebDriverCommands.CaseStudy7","headlessBrowserCommands"
"","10037","firefoxBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy3","Test","com.WebDriverCommands.CaseStudy3","firefoxBrowserCommands"
"","7008","edgeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy2","Test","com.WebDriverCommands.CaseStudy2","edgeBrowserCommands"
"","19628","firefoxBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy4","Test","com.WebDriverCommands.CaseStudy4","firefoxBrowserCommands"
"","5707","EdgeBrowsertest","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.BrowserCommands","Test","com.WebDriverCommands.BrowserCommands","EdgeBrowsertest"
"","7879","edgeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy3","Test","com.WebDriverCommands.CaseStudy3","edgeBrowserCommands"
"","4121","chromeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy4","Test","com.WebDriverCommands.CaseStudy4","chromeBrowserCommands"
"","5299","FireFoxBrowserTest","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.BrowserCommands","Test","com.WebDriverCommands.BrowserCommands","FireFoxBrowserTest"
"","11140","firefoxBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy2","Test","com.WebDriverCommands.CaseStudy2","firefoxBrowserCommands"
"","8960","chromeBrowserCommands","Suite","2026-07-20","passed","2026-07-20","com.WebDriverCommands.CaseStudy2","Test","com.WebDriverCommands.CaseStudy2","chromeBrowserCommands"
